Time,Temperature (° F),,,Dew Point (° F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (Hg),,
29-01-2012,81,69.7,59,61,54.5,46,100,63.5,30,12,6.1,1,26.9,26.9,26.8
30-01-2012,81,69.6,61,61,54.9,48,94,63.3,32,13,7.8,3,27,26.9,26.8
31-01-2012,79,71.4,63,61,54.7,48,94,59,34,12,8.2,6,27,26.9,26.9
01-02-2012,82,65.8,52,59,49,39,100,61.9,21,16,6.8,0,27,26.9,26.9
02-02-2012,81,67.6,52,57,49.5,37,94,59.3,23,17,8.2,0,27,26.9,26.9
03-02-2012,81,68.3,54,61,55.2,48,100,67.7,36,14,6.9,0,27,26.9,26.9
04-02-2012,84,68.6,59,63,55.1,46,100,68.7,28,10,5.4,0,27,26.9,26.8
05-02-2012,86,69.8,57,63,52.6,37,100,63.5,19,9,4.9,2,27,26.9,26.9
06-02-2012,86,71.5,57,63,58,54,100,67.4,33,12,5.1,0,27,26.9,26.8
07-02-2012,86,73.1,63,64,58,46,100,65.1,25,10,5.8,0,26.9,26.9,26.8
08-02-2012,90,73,61,66,56.9,48,100,64.6,24,12,4.8,0,26.9,26.9,26.8
09-02-2012,88,74.5,61,66,57.6,48,100,62.2,25,12,5.8,0,26.9,26.9,26.8
10-02-2012,88,73.7,64,64,59,50,100,66,27,12,5.5,0,26.9,26.9,26.8
11-02-2012,84,73.4,64,66,61.2,52,100,69.4,37,12,6.3,2,26.9,26.9,26.8
12-02-2012,86,73.5,64,64,58.3,50,100,64.5,29,13,6.6,3,27,26.9,26.8
13-02-2012,86,73.1,61,64,56.5,46,100,62.5,25,14,6.6,2,27,26.9,26.8
14-02-2012,88,72.6,59,63,44.9,0,100,52.2,13,10,4.7,0,27,26.9,26.8
15-02-2012,88,74,61,64,52.1,39,100,53.2,19,8,4,0,26.9,26.9,26.8
16-02-2012,90,76.7,61,64,55.5,45,94,54.6,21,10,5,1,26.9,26.8,26.8
17-02-2012,88,75.8,64,64,56.5,45,94,57.4,22,14,7.5,1,26.9,26.9,26.8
18-02-2012,88,72.6,55,63,49.6,37,94,51.6,18,12,5.8,0,26.9,26.9,26.8
19-02-2012,88,70.3,54,61,40.9,0,100,48.5,11,15,5.4,0,27,26.9,26.8
20-02-2012,90,73.4,55,55,42.8,36,82,39.8,15,16,6.1,0,26.9,26.9,26.8
21-02-2012,88,73.4,57,54,45.8,37,82,43.1,17,15,5.6,0,26.9,26.8,26.8
22-02-2012,88,72.5,55,61,44.1,37,88,42.1,17,17,7,0,26.9,26.9,26.8
23-02-2012,88,71.8,54,52,32.6,0,77,33.7,8,17,6.7,0,26.9,26.9,26.8
24-02-2012,90,72.9,52,45,35.7,0,76,34.3,10,16,7.5,0,26.9,26.8,26.8
25-02-2012,88,72.3,54,46,32.9,0,72,32.7,11,17,7.8,0,26.9,26.8,26.8
26-02-2012,88,72.7,52,46,33.9,0,77,35.7,11,18,7.9,0,26.9,26.8,26.7
27-02-2012,90,71.9,52,48,34.6,0,82,37,12,17,6.8,0,26.9,26.8,26.8
28-02-2012,93,75.7,54,57,34.6,16,72,31.1,7,8,3.5,0,26.9,26.8,26.7
29-02-2012,91,80.1,61,63,48.5,41,88,38.5,18,13,4.5,1,26.8,26.8,26.7
01-03-2012,93,78.6,59,63,47.7,36,77,40,14,8,3.6,0,26.9,26.8,26.7
02-03-2012,93,77.6,61,66,47.8,34,77,40.1,15,9,3.7,0,26.9,26.8,26.7
03-03-2012,91,76.4,57,50,34.6,0,67,28.2,10,13,4.4,0,26.9,26.8,26.7
04-03-2012,91,77.6,57,57,34.5,0,68,29.7,10,12,3.8,0,26.9,26.8,26.8
05-03-2012,91,75.9,64,70,57.5,43,100,59,20,12,4.8,0,26.9,26.8,26.8
06-03-2012,91,77.8,66,70,54.2,43,100,51,18,10,4.5,1,26.9,26.8,26.7
07-03-2012,90,78.3,63,66,54.8,48,88,48.2,26,13,4.8,0,26.8,26.8,26.7
08-03-2012,88,77.8,68,66,48.6,39,94,40.9,18,13,6.6,1,26.8,26.8,26.7
09-03-2012,90,75.7,61,52,33.2,0,68,30.1,14,9,3.8,0,26.9,26.8,26.7
10-03-2012,90,77.9,61,61,51.1,39,78,44.4,17,10,5.8,0,26.8,26.8,26.7
11-03-2012,90,77.1,63,63,47.5,0,88,45,13,16,9,0,26.9,26.8,26.8
12-03-2012,90,77.5,63,68,56.8,39,83,54.4,20,14,9.1,0,26.9,26.9,26.8
13-03-2012,88,77.5,68,68,64.2,59,94,66.8,40,15,9,2,27,26.9,26.8
14-03-2012,88,77.6,66,68,60.8,54,100,60.3,31,14,7.4,0,27,26.9,26.8
15-03-2012,91,78.6,68,70,62,52,100,62.2,26,17,8.3,2,27,26.9,26.8
16-03-2012,91,78.5,64,68,52.2,39,100,46.7,17,14,5.3,0,27,26.9,26.8
17-03-2012,91,79.4,64,66,49.9,37,78,41,15,14,5.7,0,27,26.9,26.8
18-03-2012,93,80,63,59,46,36,77,35.8,13,12,4.7,0,26.9,26.9,26.8
19-03-2012,95,80.1,64,66,50.5,43,69,39.3,16,13,5,0,27,26.9,26.8
20-03-2012,93,80.2,66,64,51.1,45,64,39.2,19,10,4,0,26.9,26.9,26.8
21-03-2012,95,80.5,66,63,48.5,36,68,36.7,14,12,5.3,1,26.9,26.8,26.8
22-03-2012,93,79.4,66,68,50.4,36,88,42.6,13,13,4.6,0,26.9,26.9,26.8
23-03-2012,95,79.7,64,66,50.8,43,73,40.7,17,15,6.4,0,26.9,26.9,26.8
24-03-2012,93,77.9,59,54,37.5,0,72,30.8,11,16,6.1,0,27,26.9,26.8
25-03-2012,93,76.4,55,48,34.2,0,67,30.2,9,16,5.9,0,26.9,26.9,26.8
26-03-2012,93,76.1,55,50,39.4,23,72,34.7,9,18,7.1,0,26.9,26.9,26.8
27-03-2012,91,75.2,55,54,40.7,0,82,40.5,11,16,6.2,1,27,26.9,26.8
28-03-2012,91,78.1,61,64,51.9,39,88,47,16,12,4.6,0,27,26.9,26.9
29-03-2012,93,80.3,64,68,45,0,88,39.6,8,15,5.9,0,27,26.9,26.8
30-03-2012,93,80.9,68,68,55.2,43,94,46.7,18,13,5.7,0,26.9,26.9,26.8
31-03-2012,91,80.6,66,63,54.9,46,88,45.9,21,17,7.2,2,26.9,26.9,26.8
01-04-2012,90,78.8,68,68,56.7,46,94,51.7,22,12,5.8,2,27,26.9,26.8
02-04-2012,91,79,64,66,49.4,36,88,41.4,14,12,5.3,0,27,26.9,26.8
03-04-2012,93,77.6,63,66,46,0,78,39.5,11,17,5.1,0,27,26.9,26.9
04-04-2012,95,80.1,61,66,46.2,34,83,36.5,12,16,6.1,0,27,26.9,26.8
05-04-2012,93,82.6,70,68,54.8,46,88,43,20,10,5.8,1,26.9,26.9,26.8
06-04-2012,93,80.7,70,70,59.3,48,83,52.9,21,15,7.2,1,26.9,26.8,26.7
07-04-2012,93,81.4,70,66,58.5,50,88,49.3,23,10,4.6,1,26.9,26.8,26.7
08-04-2012,93,82.1,72,70,59.3,50,94,50.4,23,13,6.3,3,26.9,26.8,26.7
09-04-2012,93,82.4,72,70,59,48,94,49.7,21,9,5.3,1,26.9,26.9,26.8
10-04-2012,95,83.7,70,68,58,48,88,45.6,22,12,6.3,1,26.9,26.8,26.8
11-04-2012,95,83.1,72,68,55.3,41,83,44.4,15,14,7.8,2,26.9,26.8,26.7
12-04-2012,93,82.7,70,68,56.9,45,88,46.3,19,15,7.2,2,26.9,26.8,26.7
13-04-2012,95,82.5,68,68,55.5,43,88,45.1,16,13,6.7,0,26.9,26.8,26.7
14-04-2012,95,82.5,72,70,57.1,45,94,48,18,15,9.1,1,26.9,26.8,26.8
15-04-2012,95,81.8,68,66,55.8,41,88,48.2,15,13,6.5,1,26.9,26.8,26.8
16-04-2012,95,84,72,70,56,46,83,43,21,12,6.5,1,26.9,26.8,26.7
17-04-2012,95,83.2,73,66,60.2,52,78,49,23,17,6.7,3,26.9,26.8,26.7
18-04-2012,97,82.3,68,66,59.8,48,88,51.1,20,13,6.3,1,26.8,26.8,26.7
19-04-2012,95,83.4,68,64,57.3,48,88,44.6,20,13,4.7,0,26.8,26.8,26.7
20-04-2012,95,84.2,72,66,58,46,73,44.2,20,13,6.6,1,26.9,26.8,26.7
21-04-2012,91,81.8,73,66,59.1,52,73,48.4,26,10,4.6,0,26.9,26.8,26.7
22-04-2012,95,85.1,72,64,57.3,48,69,41.5,23,13,5.3,0,26.8,26.8,26.7
23-04-2012,95,84.8,73,68,57.7,45,78,44.8,18,12,5.5,0,26.8,26.8,26.6
24-04-2012,95,83.1,73,70,59.3,43,83,50.6,16,20,8.6,1,26.8,26.8,26.7
25-04-2012,90,75.4,70,70,66.6,59,100,77.3,38,16,6.3,0,26.9,26.8,26.7
26-04-2012,88,79.7,70,72,67.4,64,100,68.7,46,14,7.3,1,26.9,26.8,26.7
27-04-2012,88,76.8,70,72,68.8,63,100,78.8,43,13,5.8,1,26.9,26.8,26.7
28-04-2012,86,78.6,70,70,67.1,64,100,69.2,51,13,6.9,2,26.8,26.8,26.7
29-04-2012,90,77.9,72,72,68.8,63,100,77,40,25,7.8,0,26.8,26.8,26.7
30-04-2012,88,77.5,73,72,68.9,66,94,75.8,49,18,7.9,1,26.8,26.8,26.7
01-05-2012,88,77.5,68,72,67.5,63,100,74,46,16,9.1,2,26.9,26.8,26.7
02-05-2012,88,80,70,72,69.7,64,94,71.7,46,18,8.9,2,26.9,26.8,26.7
03-05-2012,93,82.5,73,72,64.2,54,94,58.7,28,16,8.9,2,26.9,26.8,26.7
04-05-2012,93,81.7,72,70,61.7,54,88,55.7,26,15,9.7,2,26.8,26.8,26.7
05-05-2012,91,81.4,72,66,58.7,50,83,50.8,24,15,9.6,2,26.8,26.8,26.7
06-05-2012,91,80.3,70,68,57.4,50,94,49.1,26,10,6.5,2,26.9,26.8,26.8
07-05-2012,91,82.4,72,64,58.1,52,78,46.4,26,13,5.3,0,26.9,26.8,26.7
08-05-2012,91,78.5,70,66,62.8,55,88,61.8,29,21,8.3,2,26.8,26.8,26.7
09-05-2012,91,78.5,68,68,62.7,57,100,61.7,33,14,7,1,26.9,26.8,26.8
10-05-2012,88,78.4,70,70,64.2,57,94,64.8,35,14,8.3,2,26.9,26.9,26.8
11-05-2012,90,78.1,68,70,64.7,61,100,66.9,38,17,7.8,1,26.9,26.8,26.7
12-05-2012,88,75.1,70,70,68.1,64,100,81.1,49,26,8.8,0,26.8,26.8,26.7
13-05-2012,88,78.7,68,72,67.3,63,94,69.8,46,10,4.2,0,26.9,26.8,26.7
14-05-2012,90,79.5,72,72,68.5,63,94,70.6,40,12,7,2,26.8,26.8,26.7
15-05-2012,91,76.2,68,72,68.4,64,100,78.4,41,31,10.3,2,26.9,26.8,26.7
16-05-2012,88,78.9,68,73,67.8,63,94,70.9,43,12,6.8,0,26.9,26.8,26.7
17-05-2012,90,81.3,73,73,68.7,63,94,68.2,40,15,7.8,1,26.9,26.8,26.7
18-05-2012,91,82,73,73,66.7,55,100,64.3,29,12,6.4,0,26.8,26.8,26.7
19-05-2012,93,84.3,75,73,65.9,59,94,57.3,32,16,8.9,2,26.9,26.8,26.8
20-05-2012,93,84.3,75,72,60.7,54,89,47.7,26,12,7.5,0,26.8,26.8,26.7
21-05-2012,93,84.4,73,68,61.5,55,83,49.1,28,15,8.8,2,26.8,26.8,26.7
22-05-2012,91,83.1,73,70,63.4,57,83,54,31,13,8.9,5,26.8,26.8,26.7
23-05-2012,93,83,73,70,64.2,55,88,57.1,28,16,11.3,5,26.9,26.8,26.7
24-05-2012,91,81.8,72,70,64.7,59,88,59.4,34,17,12.9,7,26.8,26.8,26.7
25-05-2012,88,80.8,72,68,63.6,59,83,58.3,38,18,12.6,7,26.8,26.8,26.7
26-05-2012,86,79.1,73,68,65.3,63,83,63.7,45,20,13.3,0,26.8,26.8,26.7
27-05-2012,91,81.5,73,68,63.1,55,83,57.5,29,17,12.5,5,26.8,26.8,26.7
28-05-2012,91,82.1,72,68,62.6,57,88,54.5,31,20,12.1,5,26.8,26.8,26.7
29-05-2012,86,79.7,73,70,65.1,61,88,62,43,17,11.2,5,26.8,26.8,26.7
30-05-2012,91,81.8,73,68,65.4,63,83,59.5,40,18,13,7,26.8,26.7,26.7
31-05-2012,91,82.1,72,68,62.1,57,78,52.9,31,18,12.3,0,26.8,26.7,26.6
01-06-2012,90,80.6,72,64,59.8,54,78,51.4,29,20,12.4,3,26.8,26.8,26.7
02-06-2012,91,82.2,73,68,61,52,83,51.4,26,16,12.1,3,26.8,26.7,26.7
03-06-2012,91,81.1,73,68,64.7,61,83,59.4,36,18,13,3,26.8,26.7,26.7
04-06-2012,93,81.6,72,68,64.3,59,88,58.5,34,21,14,7,26.8,26.7,26.6
05-06-2012,88,79.7,72,66,64.2,63,83,60.6,43,22,15.8,7,26.8,26.7,26.7
06-06-2012,86,77.4,72,66,65.4,63,83,67.5,51,23,15.8,0,26.8,26.7,26.7
07-06-2012,88,78.6,72,66,64.2,61,83,62.9,40,22,17,12,26.8,26.7,26.7
08-06-2012,88,77.9,70,68,64.4,61,88,64.6,40,28,14.6,9,26.8,26.8,26.7
09-06-2012,88,78.6,70,66,63,57,88,61.5,35,23,15.1,8,26.8,26.8,26.7
10-06-2012,86,78.3,70,66,61.7,57,88,59.4,37,21,13.9,8,26.8,26.8,26.7
11-06-2012,90,79.2,70,64,59.4,54,83,54,29,21,15.5,0,26.8,26.7,26.7
12-06-2012,86,78,70,66,64.1,63,88,63.9,45,18,14.9,10,26.8,26.7,26.6
13-06-2012,88,78.7,70,68,63.9,61,88,62.4,40,18,10.3,2,26.8,26.7,26.7
14-06-2012,88,78.6,72,70,65.4,61,88,66.1,40,16,9,1,26.8,26.8,26.7
15-06-2012,90,79.1,70,66,64.3,61,88,62.3,40,20,14.2,9,26.8,26.8,26.7
16-06-2012,86,77.4,70,68,64.9,63,88,67.1,45,16,13.2,6,26.8,26.8,26.7
17-06-2012,84,76.4,70,66,64.2,63,88,67.2,48,23,18.5,12,26.8,26.8,26.7
18-06-2012,79,72.4,70,66,63.8,63,88,76,57,29,18.3,0,26.8,26.8,26.7
19-06-2012,84,75.9,70,64,62.8,61,83,65.1,45,24,17.5,12,26.8,26.8,26.7
20-06-2012,86,76,68,64,62.6,57,88,65.6,37,29,17.3,0,26.8,26.8,26.7
21-06-2012,84,75,68,66,63.9,61,88,69.6,45,21,13.5,8,26.8,26.8,26.7
22-06-2012,86,75.5,68,68,64.4,59,94,70.5,40,24,12.8,7,26.8,26.8,26.7
23-06-2012,84,77.3,68,68,63.7,61,94,64.6,45,16,11.8,7,26.8,26.8,26.7
24-06-2012,88,77.9,70,66,62.8,57,88,61.9,37,20,14.4,7,26.8,26.8,26.7
25-06-2012,88,78.2,70,66,64,61,83,63.3,40,17,12.9,9,26.9,26.8,26.8
26-06-2012,84,77.1,70,66,64.5,63,88,66.6,48,18,11.6,6,26.9,26.8,26.8
27-06-2012,88,79.1,72,66,62.5,57,83,58.5,35,20,14.2,9,26.9,26.8,26.8
28-06-2012,86,76.7,70,66,63.5,61,83,64.8,43,23,16.1,10,26.8,26.8,26.7
29-06-2012,82,76.4,70,66,63.1,61,78,64.2,48,18,15.8,13,26.8,26.8,26.7
30-06-2012,88,78.9,72,64,61.8,55,78,57.3,35,23,18.7,13,26.8,26.7,26.6
01-07-2012,82,75.5,70,64,62.9,61,83,65.5,48,28,19.2,14,26.7,26.7,26.6
02-07-2012,82,73.2,68,66,63.6,61,88,73.6,48,31,19.3,13,26.7,26.7,26.6
03-07-2012,82,74.7,70,66,63.2,61,88,68.3,48,31,19.9,13,26.7,26.7,26.6
04-07-2012,86,77.8,70,64,62.5,59,83,61.3,40,28,18.6,12,26.7,26.7,26.6
05-07-2012,88,78.9,70,64,62.4,59,83,59.1,38,20,15.6,9,26.8,26.7,26.6
06-07-2012,88,78.8,70,66,62.8,59,83,60.2,38,17,13,8,26.8,26.7,26.6
07-07-2012,86,75.7,68,66,64.4,61,88,69.8,43,17,11.6,0,26.8,26.7,26.6
08-07-2012,88,76.6,70,68,64.7,59,88,69.2,38,16,11.4,1,26.8,26.7,26.6
09-07-2012,86,77.7,70,68,65.3,61,88,67.1,43,16,10.7,5,26.8,26.7,26.6
10-07-2012,84,77,70,66,64.3,63,88,66.3,48,20,13.5,7,26.8,26.7,26.7
11-07-2012,88,77.3,70,66,64.2,61,88,66.2,40,23,13.7,7,26.8,26.8,26.7
12-07-2012,84,78,70,66,64.5,61,88,64.7,45,20,11.7,7,26.8,26.8,26.7
13-07-2012,88,76.9,70,72,66.5,63,100,72.2,43,17,10,0,26.8,26.8,26.7
14-07-2012,82,75.8,70,70,66,64,100,73.3,54,16,9.6,3,26.8,26.8,26.7
15-07-2012,79,72.4,68,70,69,66,100,90.1,65,12,7.8,5,26.8,26.8,26.7
16-07-2012,81,74.1,68,70,67.7,64,100,81.7,58,12,5.6,0,26.9,26.8,26.8
17-07-2012,84,74.4,68,70,67,64,100,80.4,51,20,10.2,6,26.9,26.8,26.7
18-07-2012,79,72.8,68,68,66.5,66,100,81.5,65,17,12.2,8,26.9,26.8,26.8
19-07-2012,82,75.2,68,66,64.1,63,94,70.3,51,28,18.1,12,26.8,26.8,26.7
20-07-2012,79,73.5,68,66,64.4,63,88,74.5,61,23,17.6,12,26.8,26.8,26.7
21-07-2012,79,73.2,70,66,65.3,64,88,77.6,61,24,16.6,12,26.8,26.8,26.7
22-07-2012,82,74.6,70,70,66.6,64,94,77.8,54,22,14.2,0,26.8,26.8,26.7
23-07-2012,82,76.2,68,68,64.9,63,94,69.5,51,20,15.6,0,26.8,26.7,26.7
24-07-2012,86,76.3,68,66,64.6,63,94,69.1,48,17,13.1,3,26.8,26.7,26.7
25-07-2012,86,76,68,68,65.6,61,94,72.3,45,18,12.6,5,26.8,26.8,26.7
26-07-2012,82,75.2,70,68,65.8,64,88,73.9,54,22,15.1,7,26.8,26.7,26.7
27-07-2012,82,76,70,68,65.5,64,88,71.4,54,23,15.3,0,26.8,26.7,26.7
28-07-2012,84,76.1,70,68,65,63,88,70.1,48,21,16.1,12,26.8,26.8,26.7
29-07-2012,84,75.7,68,66,63.4,61,88,67.5,45,24,15,8,26.8,26.8,26.8
30-07-2012,84,76.5,68,64,61.7,59,88,62.5,42,24,17.7,13,26.8,26.8,26.8
31-07-2012,84,77.5,68,64,60,55,88,57,37,25,19.2,13,26.9,26.8,26.7
01-08-2012,86,75.9,68,64,62,57,88,64.4,37,23,15.4,9,26.9,26.8,26.8
02-08-2012,82,73.5,68,70,64.1,61,94,74.5,48,24,15.2,3,26.9,26.8,26.8
03-08-2012,81,71.8,68,68,65.3,61,100,81.6,51,23,14.5,7,26.8,26.8,26.7
04-08-2012,82,74.3,70,68,65.2,63,88,74.9,51,25,16.3,0,26.8,26.8,26.7
05-08-2012,84,74.8,70,68,65.3,64,88,73.9,51,25,15.3,8,26.8,26.8,26.7
06-08-2012,82,74,70,68,66.1,64,88,77.1,54,29,14.9,9,26.8,26.8,26.7
07-08-2012,82,75.3,70,68,65.7,64,88,74,54,20,14.2,9,26.8,26.8,26.7
08-08-2012,84,75,70,70,67.3,66,94,78.2,55,23,13.3,8,26.8,26.8,26.8
09-08-2012,81,73,68,70,67.3,66,94,83.1,61,18,13.7,8,26.8,26.8,26.7
10-08-2012,79,71.9,0,68,64.6,0,94,76.9,0,17,13.9,9,26.8,26.2,0
11-08-2012,81,74.8,70,68,65.7,64,88,74.6,58,21,13.7,0,26.8,26.8,26.7
12-08-2012,82,74.4,70,70,66,64,94,76.3,58,23,12.9,2,26.8,26.8,26.7
13-08-2012,84,75,70,70,67.5,64,94,78.5,51,16,9.7,3,26.8,26.8,26.7
14-08-2012,86,76.9,68,68,64.8,59,100,68.3,42,14,9,0,26.9,26.8,26.7
15-08-2012,86,75.9,70,70,66,61,94,73.3,43,21,10.6,1,26.9,26.8,26.7
16-08-2012,86,76.7,70,68,64.8,63,94,68.6,45,15,9.2,3,26.8,26.8,26.7
17-08-2012,86,75.3,68,66,64.1,61,94,70.4,45,22,12.5,5,26.8,26.8,26.7
18-08-2012,81,73,68,66,64.6,63,94,76.9,54,22,15.4,7,26.8,26.8,26.7
19-08-2012,86,76.8,68,66,63,59,94,64.8,40,22,15.2,8,26.8,26.7,26.7
20-08-2012,86,77.2,68,64,62.1,59,88,62.3,40,16,11.6,8,26.8,26.8,26.7
21-08-2012,86,76.5,68,68,63.6,59,88,66.5,42,15,7.8,2,26.8,26.8,26.7
22-08-2012,86,75.8,70,72,66.8,61,100,75.9,43,14,4.4,0,26.8,26.8,26.8
23-08-2012,88,74.3,68,72,68.2,63,100,83.6,43,20,7.3,1,26.9,26.8,26.7
24-08-2012,82,75.5,68,70,67.7,64,100,78.1,54,10,5.2,0,26.9,26.8,26.8
25-08-2012,79,72.8,70,72,69.2,66,100,88.8,69,16,9.1,2,26.8,26.8,26.7
26-08-2012,75,71,68,68,66,64,100,84.8,73,22,14.2,8,26.8,26.8,26.7
27-08-2012,77,71.8,68,68,66.2,64,94,83.4,65,18,11.9,7,26.8,26.8,26.7
28-08-2012,81,73.6,68,70,66.2,64,94,79.4,58,23,14.4,8,26.8,26.8,26.7
29-08-2012,81,72.7,68,72,67.9,66,100,86.1,65,18,12.6,7,26.8,26.8,26.7
30-08-2012,79,72.6,68,70,66,64,94,80.8,65,20,13.5,9,26.8,26.7,26.7
31-08-2012,81,74.8,68,68,64.9,63,88,72.6,54,21,15.2,8,26.8,26.7,26.7
01-09-2012,81,73.4,68,70,66.3,64,94,79.6,58,20,13.1,8,26.8,26.8,26.7
02-09-2012,84,76.8,68,70,66.4,64,94,72,51,21,15.4,7,26.8,26.7,26.7
03-09-2012,79,74.2,70,70,67.1,66,100,79.6,65,20,14.2,8,26.8,26.7,26.6
04-09-2012,81,74.3,68,68,65.7,64,94,75.9,58,20,15.1,9,26.8,26.8,26.7
05-09-2012,82,76,68,66,65.6,64,94,71.5,54,23,14.9,0,26.8,26.8,26.7
06-09-2012,84,76.2,68,68,65.9,64,94,72,51,18,12.7,8,26.9,26.8,26.8
07-09-2012,82,75.4,70,68,65.4,64,88,72.8,54,15,12.5,8,26.9,26.8,26.8
08-09-2012,81,74.3,70,70,66.6,64,94,78.4,58,18,10.6,2,26.9,26.8,26.8
09-09-2012,81,73.8,68,70,66.8,64,100,80.8,58,20,11.8,8,26.9,26.8,26.8
10-09-2012,81,74.4,68,70,65.6,63,100,76.6,54,21,13.2,2,26.9,26.8,26.8
11-09-2012,82,74.9,68,66,64.2,61,94,71.3,51,23,14.5,7,26.9,26.8,26.7
12-09-2012,84,75.9,68,66,63.6,59,94,67.9,42,18,12.7,7,26.9,26.8,26.8
13-09-2012,82,75.8,68,66,65,63,94,70.9,51,13,9.5,1,26.9,26.8,26.8
14-09-2012,86,76.9,68,66,63.9,61,94,66.2,43,16,12,6,26.9,26.8,26.7
15-09-2012,84,75,68,66,64.2,61,94,71.1,45,21,12.7,6,26.9,26.8,26.7
16-09-2012,84,76.2,66,66,62.7,59,94,65.1,45,18,11.4,1,26.9,26.8,26.7
17-09-2012,86,75.3,66,66,63.5,55,100,69.4,37,18,10.1,3,26.9,26.8,26.7
18-09-2012,84,74.5,66,66,62.9,57,100,70,40,20,9.2,3,26.9,26.8,26.8
19-09-2012,84,75.6,66,66,63.9,61,94,68.6,48,10,5.1,0,26.8,26.8,26.7
20-09-2012,86,77,68,66,61.4,55,94,60.5,39,12,6.5,0,26.9,26.8,26.8
21-09-2012,90,77.4,68,66,57.7,48,88,54.2,27,9,4.7,0,26.9,26.8,26.8
22-09-2012,88,78.3,70,63,59.7,55,78,54.8,33,9,5.5,0,26.9,26.8,26.8
23-09-2012,88,77.5,68,64,60.6,55,88,58,35,10,5.2,0,26.9,26.8,26.8
24-09-2012,86,76.5,68,64,59.3,54,83,57.5,33,14,7.2,2,26.9,26.8,26.8
25-09-2012,86,75.8,68,64,58.1,54,88,56.6,33,14,6.5,0,26.9,26.8,26.8
26-09-2012,88,78.2,68,70,61.4,54,100,59.7,33,12,5.4,1,26.9,26.9,26.8
27-09-2012,82,72.9,68,70,67.3,63,100,84.3,54,15,5.5,1,26.9,26.9,26.8
28-09-2012,81,73.5,68,68,66.5,63,100,80.8,54,12,6.6,2,26.9,26.8,26.8
29-09-2012,82,74.1,68,70,67.7,63,100,81.1,54,10,4.5,0,26.9,26.8,26.7
30-09-2012,81,73.2,68,72,68.1,64,100,85.4,58,15,5.9,1,26.9,26.8,26.7
01-10-2012,81,74.3,70,70,68,66,100,81,61,14,10,3,26.8,26.8,26.8
02-10-2012,82,74.6,64,66,64.4,59,88,71.6,58,17,11.8,6,26.9,26.8,26.8
03-10-2012,84,73.6,64,64,61.5,57,88,67.7,40,17,11.7,7,26.9,26.8,26.8
